query_id,query,doc_type,difficulty,ground_truth_answer,source_doc,page_no,section_ref,expected_citations,is_answerable,doc_title,key_terms,confidence,chunk_id,text_used
Q040,What is the specific procedure for claiming the Mortgage Interest Deduction on a tax return for a primary residence in a different country?,pov,unanswerable,This information is not available in the provided legal text.,pov_gao_01_tax_exempt,27,,"pov_gao_01_tax_exempt, p.27",no,Gao Report: 01 Tax Exempt,"Mortgage Interest Deduction, tax return, primary residence",unanswerable,pov_gao_01_tax_exempt_p27_c27,"interest. The results of the probit equation on itemization are discussed above. The results of the equation estimating the level of the deduction are shown in the second column of Table 6. Again, all of the estimated coefficients have the expected signs. The amount of mortgage interest deducted inc..."
Q041,"How do the proposed regulations under section 1446(f) balance the need to reduce overwithholding with the requirement to verify the accuracy of certifications, particularly in cases where certifications are received after the date of payment?",pov,interpretive,"The proposed regulations balance the need to reduce overwithholding with the requirement to verify the accuracy of certifications by permitting brokers to rely on late certifications under certain conditions, such as receiving a valid certification within 30 days of payment or obtaining a signed affidavit and documentary evidence to support treaty claims made on the certificate.",pov_crs_06_capital_gains,5,,"pov_crs_06_capital_gains, p.5",yes,Crs Report: 06 Capital Gains,"section 1446(f), late certifications, overwithholding",high,pov_crs_06_capital_gains_p5_c5,be amended to provide that those same provisions apply for purposes of applying section 1446(f) on the transfer of a PTP interest. The Treasury Department and the IRS have determined that it is appropriate to allow brokers to rely on late certifications for purposes of withholding under section 1446...
Q042,"What are the two elements that comprise the sales price as of January 15, 1979, and how do these elements relate to the partnership's obligation to pay the sales price of $1,224,000 as stated in the sales agreement?",judgment,multi_hop,"The two elements that comprise the sales price are: (1) the balance due on mortgages, including a first mortgage dated May 17, 1961, a second mortgage, and any other mortgages placed later by the Romneys, and (2) the 'Seller's equity', defined as the difference between the outstanding encumbrances and the value of the property. These elements relate to the partnership's obligation in that the sales agreement purports to create an obligation to pay $1,224,000, but the true price is computed according to a formula based on these elements as of January 15, 1979, at which point the partnership may elect to consummate or withdraw from the transaction.",judgment_21_estate_of_franklin_v_commissioner,9,,"judgment_21_estate_of_franklin_v_commissioner, p.9",yes,Estate of Franklin v. Commissioner (1976),"sales price, mortgages, Seller's equity",high,judgment_21_estate_of_franklin_v_commissioner_p9_c9,"is read with the contemporaneously executed lease, in the light of the record as a whole, the arrangement has the characteristics of an option. We think those characteristics clearly predominate. We base our conclusion on the totality of the following considerations: First, the sales agreement purpo..."
Q043,What is the applicable amount for a joint return or a surviving spouse under IRC §68?,act,factual,"$300,000",act_sec68,2,IRC §68,"act_sec68, p.2",yes,IRC Section 68 - Overall Limitation on Itemized Deductions,"applicable amount, joint return, surviving spouse",high,act_sec68_p2_c4,"Page 461 TITLE 26—INTERNAL REVENUE CODE § 68 lowable for the taxable year shall be reduced by the lesser of— (1) 3 percent of the excess of adjusted gross income over the applicable amount, or (2) 80 percent of the amount of the itemized deductions otherwise allowable for such tax- able year. (b) Ap..."
Q044,What is the specific procedure for filing an appeal in a case like United States v. Kirby Lumber Co.?,judgment,unanswerable,This information is not available in the provided legal text.,judgment_12_united_states_v_kirby_lumber,1,,"judgment_12_united_states_v_kirby_lumber, p.1",no,United States v. Kirby Lumber Co. (1931),,unanswerable,judgment_12_united_states_v_kirby_lumber_p1_c1,"UNITED STATES v. KIRBY LUMBER CO. | Supreme Court | US Law | LII / Legal Information Institute Please help us improve our site! × No thank you UNITED STATES v. KIRBY LUMBER CO. Supreme Court 284 U.S. 1 52 S.Ct. 4 76 L.Ed. 131 UNITED STATES v. KIRBY LUMBER CO. No. 26. Argued Oct. 21, 1931. Decided No..."
Q045,"How does the vehicle cents-per-mile valuation rule define 'personal miles' for purposes of calculating the value of the benefit provided to an employee, and what implications does this definition have for the application of the rule?",pov,interpretive,"The vehicle cents-per-mile valuation rule defines 'personal miles' as all miles for which the employee used the automobile except miles driven in the employee’s trade or business of being an employee of the employer, as stated in Section 1.61-21(e)(4). This definition implies that employers must distinguish between personal and business use of the vehicle to accurately calculate the value of the benefit provided, and that failure to do so may result in incorrect application of the rule.",pov_jct_07_penalties,6,,"pov_jct_07_penalties, p.6",yes,Jct Report: 07 Penalties,"vehicle cents-per-mile valuation rule, personal miles, Section 1.61-21(e)(4)",high,pov_jct_07_penalties_p6_c6,"6 B. VEHICLE CENTS-PER-MILE VALUATION RULE Under the vehicle cents-per-mile valuation rule, the value of the benefit provided in the calendar year equals the standard mileage rate (cents-per-mile rate) multiplied by the total number of miles the vehicle is driven by the employee for personal purpose..."
Q046,What is the deadline for filing an amended return for social security benefits received in 2024?,tax,unanswerable,This information is not available in the provided legal text.,tax_pub17,66,,"tax_pub17, p.66",no,IRS Publication 17 - Your Federal Income Tax,"amended return, social security benefits, filing deadline",unanswerable,tax_pub17_p66_c182,"are included in your 2025 income, no adjustment is made to the earlier year's return. Don’t file an amended return for the earlier year. Examples The following are a few examples you can use as a guide to figure the taxable part of your ben- efits. Example 1. You are single and file Form 1040 for 20..."
Q047,What is compared to the good will of an old partnership in the context of expenses?,judgment,factual,Reputation and learning,judgment_04_welch_v_helvering,3,,"judgment_04_welch_v_helvering, p.3",yes,Welch v. Helvering (1933),"reputation, learning, capital assets",high,judgment_04_welch_v_helvering_p3_c3,"confirmed. But nothing told us by this record or within the sphere of our judicial notice permits us to give that extension to what is ordinary and necessary. Indeed, to do so would open the door to -many bizarre analogies. One man has a family name that is clouded by thefts committed by an ancestor..."
Q048,What type of businesses does this chapter not apply to?,tax,factual,"A personal service business, such as the business of a doctor, lawyer, carpenter, or painter.",tax_pub334,28,,"tax_pub334, p.28",yes,IRS Publication 334 - Tax Guide for Small Business,"personal service business, cost of goods sold",high,tax_pub334_p28_c55,for returned merchandise and any other allowan- ces you make on sales are deductions from gross sales in figuring net sales. Advance payments. Special rules dealing with an ac- crual method of accounting for payments received in ad- vance are discussed in chapter 2 under Accrual Method. Insurance pr...
Q049,What conditions must an eating facility meet to be considered an employer-operated eating facility for employees?,tax,factual,"The facility must be owned or leased by the employer, operated by the employer, located on or near the business premises, and provide meals during or immediately before/after the employee's workday.",tax_pub15b,19,,"tax_pub15b, p.19",yes,IRS Publication 15B - Employers Tax Guide to Fringe Benefits,"employer-operated eating facility, business premises",high,tax_pub15b_p19_c37,"aren’t primarily performed on the premises of the eating facility aren’t included in direct operating costs. For this purpose, your revenue from providing a meal is considered equal to the facility’s direct operating costs to provide that meal if its value can be excluded from an em- ployee’s wages,..."
Q050,"What is the impact of including stock option income on NIPA Wages and Salaries, and how does this compare to the effect of spread income deductions on NIPA Profits Before Tax?",pov,multi_hop,"Including stock option income in NIPA Wages and Salaries results in a 2.4 percent increase between CY 2000 and CY 2001, whereas excluding it yields a 3.4 percent increase. In contrast, spread income deductions reduce NIPA Profits Before Tax by approximately 14 percent in CY 2000, and if deducted from pre-tax book income, would have decreased it by 10 to 20 percent for sample firms between TY 1997-2001.",pov_gao_02_likekind,18,,"pov_gao_02_likekind, p.18",yes,Gao Report: 02 Likekind,"NIPA Wages and Salaries, stock option income, NIPA Profits Before Tax, spread income deductions",high,pov_gao_02_likekind_p18_c18,"16 total NIPA Wages and Salaries. 21 (See Table 2.) While stock option income is small relative to more traditional forms of compensation, the volatility of this income can have significant implications for macro and tax receipt forecasters. For example, when stock option income is included, NIPA Wa..."
Q051,How does the context of corporate reorganizations under IRC §368 inform the interpretation of a 'reorganization' for tax purposes?,act,interpretive,"The interpretation of a 'reorganization' under IRC §368 would depend on the specific language and intent of the section, considering factors such as the continuity of business enterprise and the net worth requirements, to determine whether a particular transaction qualifies as a reorganization for tax purposes.",act_sec368,3,IRC §368,"act_sec368, p.3",yes,IRC Section 368 - Corporate Reorganizations,"corporate reorganizations, reorganization, tax purposes",medium,act_sec368_p3_c3,Browse • A to Z • Category • Date • Committee • Author About • About • Policies • Authentication • Digital Preservation • History • Agency Submission • U.S. Government Information • FDsys Retirement Developers • Developer Hub • API • Bulk Data Repository • Link Service • Feeds • Sitemaps • System De...
Q052,On what grounds did respondent disallow petitioners' management fees deduction?,judgment,factual,"Respondent disallowed petitioners' management fees deduction on the primary ground that petitioners did not establish that the fees were ordinary and necessary expenses incurred in business or for the production of income, or that they were incurred in connection with an activity entered into for profit.",judgment_20_grodt_mckay_realty_v_commissioner,11,,"judgment_20_grodt_mckay_realty_v_commissioner, p.11",yes,Grodt & McKay Realty v. Commissioner (1981),"management fees, ordinary and necessary expenses",high,judgment_20_grodt_mckay_realty_v_commissioner_p11_c11,"le-breeding activity was entered into for profit. As a second alternative, respondent limited petitioners’ depreciation deductions to amounts calculated using a fair market value for the cattle of $800 per head. Respondent disallowed petitioners’ management fees deduction on the primary ground that ..."
Q053,"How does the term 'applicable policyholder' expand to include related persons under IRC §101, and what are the implications of this expansion for employer-owned life insurance contracts?",act,interpretive,"The term 'applicable policyholder' expands to include related persons as specified in section 267(b) or 707(b)(1), or those engaged in trades or businesses under common control, thereby encompassing a broader range of entities and individuals with respect to employer-owned life insurance contracts.",act_sec101,5,IRC §101,"act_sec101, p.5",yes,IRC Section 101 - Life Insurance Exclusions,"applicable policyholder, related persons, employer-owned life insurance contract",high,act_sec101_p5_c10,"in a trade or business and under which such person (or a related person described in subparagraph (B)(ii)) is directly or indi- rectly a beneficiary under the contract, and (ii) covers the life of an insured who is an employee with respect to the trade or busi- ness of the applicable policyholder on..."
Q054,What is the adjusted gross income limitation under section 25B(b)(1)(A) for determining the retirement savings contributions credit for married taxpayers filing a joint return in 2024?,pov,factual,"$46,000",pov_crs_03_charitable,3,,"pov_crs_03_charitable, p.3",yes,Crs Report: 03 Charitable,"adjusted gross income limitation, section 25B(b)(1)(A), retirement savings contributions credit",high,pov_crs_03_charitable_p3_c3,"3 to contracts purchased or received in an exchange on or after December 29, 2022 remains $200,000. The Code provides that the $1,000,000,000 threshold used to determine whether a multiemployer plan is a systemically important plan under section 432(e)(9)(H)(v)(III)(aa) of the Code is adjusted using..."
Q055,How does the distinction between 'property held for personal use' and 'property used for the production of income' impact the tax treatment of gains and losses from the sale or exchange of such properties?,tax,interpretive,"The tax treatment of gains and losses from the sale or exchange of properties differs based on whether the property is held for personal use or used for the production of income. While gains from the sale of personal-use property are considered capital gains and losses are not deductible, properties used for income production are subject to different rules as outlined under 'Business assets' and may not be treated as capital assets.",tax_pub544,30,,"tax_pub544, p.30",yes,IRS Publication 544 - Sales of Business Property,"capital asset, personal-use property, investment property, business assets",high,tax_pub544_p30_c65,"casual sales of the timber. Personal-use property. Generally, property held for per- sonal use is a capital asset. Gain from a sale or exchange of that property is a capital gain. Loss from the sale or ex- change of that property is not deductible. Investment property. Investment property (such as s..."
Q056,"What is the purpose of the section regarding corporate reorganizations, and how does this purpose relate to the underlying presupposition that the readjustment shall be undertaken for reasons germane to the conduct of the venture in hand?",judgment,multi_hop,"The purpose of the section is to allow men engaged in enterprises to consolidate, divide, add to, or subtract from their holdings without realizing a profit, as the collective interests still remain in solution. This purpose is related to the underlying presupposition that the readjustment shall be undertaken for reasons germane to the conduct of the venture in hand, not as an ephemeral incident, such as dodging shareholders' taxes, which is not one of the transactions contemplated as corporate 'reorganizations' (Page 3, Gregory v. Helvering)",judgment_08_gregory_v_helvering,3,,"judgment_08_gregory_v_helvering, p.3",yes,Gregory v. Helvering (1935),"corporate reorganizations, collective interests, venture in hand",high,judgment_08_gregory_v_helvering_p3_c3,"the room for interpretation must contract; but the meaning of a sentence may be <span class=""star-pagination"">*811</span> more than that of the separate words, as a melody is more than the notes, and no degree of particularity can ever obviate recourse to the setting in which all appear, and which a..."
Q057,"What is the age limit for the protected class under the ADEA, as stated in § 631(a)?",judgment,factual,At least 40 years of age,judgment_27_textron_inc_v_united_states,15,,"judgment_27_textron_inc_v_united_states, p.15",yes,Textron Inc. v. United States (2009),"ADEA, protected class, age limit",high,judgment_27_textron_inc_v_united_states_p15_c15,"tion between each element of the prima facie case and the illegal discrimination for which it establishes a “legally mandatory, rebuttable presumption,” Burdine, supra at 254, n 7 . The element of replacement by someone under 40 fails this requirement. The discrimination prohibited by the adea is di..."
Q058,"What was the substitution made by Pub. L. 101–508, § 11101(d)(1)(F) in Subsec. (d)(3)(B) of IRC § 151?",act,factual,The substitution of ‘‘1989’’ for ‘‘1987’’,act_sec151,3,IRC §151,"act_sec151, p.3",yes,IRC Section 151 - Personal Exemptions,"Pub. L. 101–508, IRC § 151, Subsec. (d)(3)(B)",high,act_sec151_p3_c6,"Page 717 TITLE 26—INTERNAL REVENUE CODE § 151 Subsec. (d)(3)(B). Pub. L. 101–508, § 11101(d)(1)(F), sub- stituted ‘‘1989’’ for ‘‘1987’’. 1988—Subsec. (c)(1)(B)(ii). Pub. L. 100–647 inserted ‘‘who has not attained the age of 24 at the close of such calendar year’’ after ‘‘student’’. 1986—Subsec. (c)...."
Q059,"What is the business-use requirement for listed property, and how does this requirement relate to claiming a special depreciation allowance or the section 179 deduction?",tax,multi_hop,"The business-use requirement for listed property states that the property must be used predominantly (more than 50%) for qualified business use to claim the section 179 deduction or a special depreciation allowance. For business aircraft, an additional 25% test must be met. This requirement is crucial in determining the eligibility for these deductions, as stated on page 51 of IRS Publication 946.",tax_pub946,51,,"tax_pub946, p.51",yes,IRS Publication 946 - How to Depreciate Property,"business-use requirement, listed property, section 179 deduction, special depreciation allowance",high,tax_pub946_p51_c97,"recapture for residential rental and nonresi- dential real property unless that property is qualified prop- erty for which you claimed a special depreciation allow- ance. For more information on depreciation recapture, see Pub. 544. 5. Additional Rules for Listed Property Introduction This chapter d..."
Q060,"How did the court distinguish between an investor and a trader in the securities market, and what implications does this distinction have for the plaintiffs' activities?",judgment,interpretive,"The court distinguished between an investor and a trader by defining a trading account as one in which 'securities are bought and sold with reasonable frequency in an endeavor to catch the swings in the daily market movements and profit thereby on a short-term basis.' The plaintiffs were considered investors rather than traders because they were primarily interested in long-term growth and the payment of dividends, rather than short-term profits.",judgment_26_moller_v_united_states,6,,"judgment_26_moller_v_united_states, p.6",yes,Moller v. United States (1983),"trader, investor, trading account",high,judgment_26_moller_v_united_states_p6_c6,", filing cabinets, a typewriter, a checkwriter, a postage meter, and a 2-drawer filing cabinet for current files. All of the books, records, documents, publications, and services previously described were stored in this office.</p> <p>At all times pertinent to this case, the plaintiffs also maintain..."
Q061,What is the basis of the property received in a like-kind exchange of real property?,pov,factual,The basis of the property received is generally the same as the basis of the property given up.,pov_jct_01_tcja,12,,"pov_jct_01_tcja, p.12",yes,Jct Report: 01 Tcja,"like-kind exchange, basis",high,pov_jct_01_tcja_p12_c22,"A nontaxable exchange is an exchange in which you're not taxed on any gain and you can't deduct any loss. If you re- ceive property in a nontaxable exchange, its basis is usu- ally the same as the basis of the property you transferred. A nontaxable gain or loss is also known as an unrecog- nized gai..."
Q062,"What is the significance of the phrase 'gains or profits and income derived from any source whatever' in § 22 (a), and how does the court's interpretation of this phrase relate to the characterization of income in Eisner v. Macomber?",judgment,multi_hop,"The phrase 'gains or profits and income derived from any source whatever' in § 22 (a) is significant because it adds to the meaning of 'gross income', and the court's interpretation of this phrase is distinct from the characterization of income in Eisner v. Macomber, which defined income as 'the gain derived from capital, from labor, or from both combined' in the context of distinguishing gain from capital, but not intended as a touchstone for all future gross income questions (Page 3, Commissioner v. Glenshaw Glass Co.)",judgment_01_commissioner_v_glenshaw_glass,3,,"judgment_01_commissioner_v_glenshaw_glass, p.3",yes,Commissioner v. Glenshaw Glass Co. (1955),"gross income, gains or profits, Eisner v. Macomber",high,judgment_01_commissioner_v_glenshaw_glass_p3_c3,"l provision of § 22 (a), “gains or profits and income derived from any source whatever.” The importance of that phrase has been too frequently recognized since its first appearance in the Revenue Act of 1913 5 to say now that it adds nothing to the meaning of “gross income.” Nor can we accept respon..."
Q063,"In the case of Edem v. Comm’r, T.C. Memo. 2013-238, what was the result of the taxpayers' failure to introduce evidence to substantiate business expenses?",pov,factual,Deductions were denied,pov_irs_01_sec162,5,,"pov_irs_01_sec162, p.5",yes,Irs Analysis: 01 Sec162,"Edem v. Comm’r, substantiate business expenses",high,pov_irs_01_sec162_p5_c8,"(deduction denied for grain farming expenses for failure to substantiate; court did not reach question of profit motive); Edem v. Comm’r, T.C. Memo. 2013-238 (taxpayers introduced no evidence to substanti­ ate business expenses; deductions were denied); Gorokhovsky v. Comm’r, 549 F. App’x 527 (7th C..."
Q064,"What is the definition of a 'tax-exempt obligation' under IRC §265, and how does this definition relate to the concept of 'interest' as described in the same section?",act,multi_hop,"A 'tax-exempt obligation' is defined as any obligation the interest on which is wholly exempt from taxes imposed by this subtitle, including shares of stock of a regulated investment company which distributes exempt-interest dividends. This definition is related to the concept of 'interest' as it includes amounts paid in respect of deposits, investment certificates, or withdrawable or repurchasable shares, which are considered 'interest' for purposes of determining deductions for the taxable year.",act_sec265,4,IRC §265,"act_sec265, p.4",yes,IRC Section 265 - Expenses for Tax-Exempt Income,"tax-exempt obligation, interest",high,act_sec265_p4_c7,"Page 1016 TITLE 26—INTERNAL REVENUE CODE § 265 as a deduction for interest for the taxable year (determined without regard to this sub- section, section 264, and section 291). For purposes of the preceding sentence, the term ‘‘interest’’ includes amounts (whether or not designated as interest) paid ..."
Q065,"How does the treatment of a gift, bequest, devise, or inheritance of income from property, as outlined in IRC §102, impact the gross income of a beneficiary under subchapter J, particularly when the payment is made at intervals?",act,interpretive,"The treatment of a gift, bequest, devise, or inheritance of income from property as outlined in IRC §102 implies that to the extent it is paid or credited or to be distributed out of income from property, it shall be treated for purposes of paragraph (2) as a gift, bequest, devise, or inheritance of income from property, thus affecting the gross income of a beneficiary under subchapter J.",act_sec102,1,IRC §102,"act_sec102, p.1",yes,IRC Section 102 - Gifts and Inheritances Exclusion,"gift, bequest, devise, inheritance, gross income",high,act_sec102_p1_c3,"amount of such income. Where, under the terms of the gift, bequest, de- vise, or inheritance, the payment, crediting, or distribution thereof is to be made at intervals, then, to the extent that it is paid or credited or to be distributed out of income from property, it shall be treated for purposes..."
Q066,What year was subsection (e) added to IRC §263?,act,factual,1969,act_sec263,3,IRC §263,"act_sec263, p.3",yes,IRC Section 263 - Capital Expenditures,"IRC §263, subsection (e)",high,act_sec263_p3_c7,"subsec. (f) as (e) and struck out ‘‘or his delegate’’ after ‘‘Secretary’’. Former sub- sec. (e) redesignated (d). Subsec. (f). Pub. L. 94–455, §§ 1701(a), 1904(b)(10)(A)(i)(I), added subsec. (f). Former subsec. (f) redesignated (e). 1971—Subsec. (e). Pub. L. 92–178, § 109(c), substituted ‘‘shall, at..."
Q067,"What is the definition of a capital asset under IRC §1221, and how does this definition impact the categorization of assets under the provided legal text on page 3?",act,multi_hop,"The provided legal text does not explicitly define a capital asset, however, based on the context of IRC §1221, it can be inferred that the definition of a capital asset would impact the categorization of assets. Unfortunately, the text snippet does not provide sufficient information to fully answer this question.",act_sec1221,3,IRC §1221,"act_sec1221, p.3",yes,IRC Section 1221 - Capital Asset Defined,"capital asset, IRC §1221",low,act_sec1221_p3_c3,Browse • A to Z • Category • Date • Committee • Author About • About • Policies • Authentication • Digital Preservation • History • Agency Submission • U.S. Government Information • FDsys Retirement Developers • Developer Hub • API • Bulk Data Repository • Link Service • Feeds • Sitemaps • System De...
Q068,"What is the definition of taxable income for corporations prior to amendment, and how does this compare to the definition for individuals who do not itemize their deductions as stated in subsection (b) after the amendment?",act,multi_hop,"Prior to amendment, taxable income for corporations was defined as gross income minus the deductions allowed by this chapter. In contrast, for individuals who do not itemize their deductions as stated in subsection (b) after the amendment, the definition of taxable income is not explicitly stated in the provided text, but the amendment to subsection (b) implies a change in the calculation of taxable income for individuals. The exact definition for individuals who do not itemize their deductions is not provided in the given text, but it is clear that the amendment aimed to modify the calculation of taxable income.",act_sec63,3,IRC §63,"act_sec63, p.3",yes,IRC Section 63 - Taxable Income Defined,"taxable income, corporations, individuals, itemize deductions",medium,act_sec63_p3_c7,"blind) for the taxable year.’’ 1988—Subsec. (c)(5). Pub. L. 100–647 substituted ‘‘basic standard deduction’’ for ‘‘standard deduction’’ in head- ing and text. 1986—Subsec. (a). Pub. L. 99–514, § 102(a), substituted ‘‘In general’’ for ‘‘Corporations’’ in heading and amend- ed text generally. Prior to..."
Q069,What position does the taxpayer take regarding the basis of USP in the FP nonqualified preferred stock?,pov,factual,The taxpayer takes the position that USP takes a basis in the FP nonqualified preferred stock equal to its fair market value under §1.1032-1(d).,pov_crs_11_reorg,12,,"pov_crs_11_reorg, p.12",yes,Crs Report: 11 Reorg,"§1.1032-1(d), basis, fair market value",high,pov_crs_11_reorg_p12_c12,"12 transaction intended to qualify as a reorganization described in section 368(a)(1)(B). On a subsequent date, when FP still has no earnings and profits, FP redeems the FP nonqualified preferred stock held by USP in exchange for cash or a note. The taxpayer takes the position that FP’s acquisition ..."
Q070,"According to the IRS press release IR-2002-05, what was one purpose for the National Research Program?",pov,factual,A reduction in 'needless 'no change' audits' resulting from improved audit selection algorithms,pov_gao_03_retirement,21,,"pov_gao_03_retirement, p.21",yes,Gao Report: 03 Retirement,"IRS press release IR-2002-05, National Research Program, no change audits",high,pov_gao_03_retirement_p21_c21,"the number of audits that do not produce a direct change in tax liability.23 The IRS does not, to my knowledge, routinely estimate the indirect revenue produced by audits in the form of deterrence. Focus on the so-called no-change rate is therefore misguided, if audits do in fact induce improvements..."
Q071,What is the adjusted gross income limitation under section 25B(b)(1)(A) for determining the retirement savings contributions credit for married taxpayers filing a joint return in 2023?,pov,factual,"$43,500",pov_crs_07_ira,3,,"pov_crs_07_ira, p.3",yes,Crs Report: 07 Ira,"adjusted gross income limitation, section 25B(b)(1)(A), retirement savings contributions credit",high,pov_crs_07_ira_p3_c3,"3 section 432(e)(9)(H)(v)(III)(aa) of the Code is adjusted using the cost-of-living adjustment provided under section 432(e)(9)(H)(v)(III)(bb). After taking the applicable rounding rule into account, the threshold used to determine whether a multiemployer plan is a systemically important plan under ..."
Q072,What is the specific procedure for filing an amended tax return for a like-kind exchange under IRC Section 1031?,act,unanswerable,This information is not available in the provided legal text.,act_sec1031,3,IRC §1031,"act_sec1031, p.3",no,IRC Section 1031 - Like-Kind Exchanges,"like-kind exchange, amended tax return",unanswerable,act_sec1031_p3_c6,"106–36, in last sentence, sub- stituted ‘‘assumed (as determined under section 357(d)) a liability of the taxpayer’’ for ‘‘assumed a liability of the taxpayer or acquired from the taxpayer property subject to a liability’’ and struck out ‘‘or acquisition (in the amount of the liability)’’ after ‘‘su..."
Q073,What is the predecessor of Section 61(a) in the 1954 Code?,judgment,factual,Section 22(a) of the 1939 Code,judgment_03_cesarini_v_united_states,4,,"judgment_03_cesarini_v_united_states, p.4",yes,Cesarini v. United States (1969),"Section 61(a), Section 22(a), 1954 Code, 1939 Code",high,judgment_03_cesarini_v_united_states_p4_c4,"evenue ruling had not been issued two years later. 1 In partial summary, then, the arguments of the taxpayers which attempt to avoid the application of Rev.Rul. 61, 1953-1 are not well taken. The Dougherty ease simply does not hold one way or another on the problem before this Court, and therefore p..."
Q074,What are the specific filing requirements for charitable contributions made to foreign organizations?,tax,unanswerable,This information is not available in the provided legal text.,tax_pub526,21,,"tax_pub526, p.21",no,IRS Publication 526 - Charitable Contributions,"charitable contributions, filing requirements, foreign organizations",unanswerable,tax_pub526_p21_c42,"contributed part. See Ordinary In- come Property and Capital Gain Property, both earlier, for more information. Example. You sell ordinary income property with an FMV of $10,000 to a mosque for $2,000. Your basis is $4,000 and your AGI is $20,000. You make no other con- tributions during the year. T..."
Q075,What is the test of nondeductibility according to Tank Truck Rentals v. Commissioner?,judgment,factual,The test of nondeductibility always is the severity and immediacy of the frustration resulting from allowance of the deduction.,judgment_05_commissioner_v_tellier,4,,"judgment_05_commissioner_v_tellier, p.4",yes,Commissioner v. Tellier (1966),"nondeductibility, Tank Truck Rentals v. Commissioner",high,judgment_05_commissioner_v_tellier_p4_c4,"10 The Court has also given effect to a precise and longstanding Treasury Regulation prohibiting the deduction of a specified category of expenditures; an example is lobbying expenses, whose nondeductibility was supported by considerations not here present. Textile Mills Corp. v. Commissioner, 314 U..."
Q076,"How do the Treasury Department and the IRS expect comments to address the potential applicability of state charity laws to charitable LLCs, in terms of ensuring that assets remain dedicated to an exempt purpose and preventing private inurement?",pov,interpretive,"The Treasury Department and the IRS expect comments to recommend specific safeguards to ensure that charitable LLCs can satisfy federal statutory and regulatory requirements, including the requirement for assets to remain dedicated to an exempt purpose and the prohibition against private inurement, as well as comments on the interpretation of state LLC laws and their applicability to charitable LLCs.",pov_crs_04_exempt_orgs,8,,"pov_crs_04_exempt_orgs, p.8",yes,Crs Report: 04 Exempt Orgs,"exempt purpose, private inurement, charitable LLCs",high,pov_crs_04_exempt_orgs_p8_c8,"8 section 3 of this notice. Comments supporting recognition of section 501(c)(3) status for LLCs whose membership includes individuals and/or organizations other than section 501(c)(3) organizations, governmental units, or instrumentalities of a state or political subdivision thereof should recommen..."
Q077,What is the purpose of Section 111 of the Code as described in the provided text?,pov,factual,"Section 111 partially codifies the tax benefit rule, which generally requires a taxpayer to include in gross income recovered amounts that the taxpayer deducted in a prior taxable year to the extent those amounts reduced the taxpayer’s tax liability in the prior year.",pov_crs_01_gross_income,4,,"pov_crs_01_gross_income, p.4",yes,Crs Report: 01 Gross Income,"Section 111, tax benefit rule",high,pov_crs_01_gross_income_p4_c4,"Section 111(a) excludes from gross income amounts attributable to the recovery during the taxable year of any amount deducted in any prior year to the extent the amount did not reduce the amount of tax imposed by Chapter 1 of the Code. Section 111 partially codifies the tax benefit rule, which gener..."
Q078,What is the threshold for a corporation to obtain a qualified appraisal for deductions of property claimed?,pov,factual,"A corporation must obtain a qualified appraisal for all deductions of property claimed in excess of $5,000.",pov_tf_03_corporate,13,,"pov_tf_03_corporate, p.13",yes,Tax Foundation: 03 Corporate,"qualified appraisal, deductions of property",high,pov_tf_03_corporate_p13_c26,"Closely held and personal service corporations must complete and attach Form 8283, Noncash Charitable Contributions, to their returns if they claim a deduction of more than $500 for noncash contributions. For all other corporations, if the deduction claimed for donated prop- erty exceeds $5,000, com..."
Q079,What is the default classification for a domestic eligible entity with two or more owners under § 301.7701-3(b)(1)?,pov,factual,A partnership,pov_crs_05_like_kind,8,,"pov_crs_05_like_kind, p.8",yes,Crs Report: 05 Like Kind,"business entity, partnership, § 301.7701-3(b)(1)",high,pov_crs_05_like_kind_p8_c8,8 Section 301.7701-2(a) defines the term “business entity” as any entity recognized for federal tax purposes (including an entity with a single owner that may be disregarded as an entity separate from its owner under § 301.7701-3) that is not properly classified as a trust under § 301.7701-4 or othe...
Q080,In what year was the case of United States v. Ross decided?,judgment,factual,1982,judgment_23_commissioner_v_flowers,11,,"judgment_23_commissioner_v_flowers, p.11",yes,Commissioner v. Flowers (1946),"United States v. Ross, year",high,judgment_23_commissioner_v_flowers_p11_c11,"cement officer has “acted in good faith in conducting the search.” United States v. Ross, 456 U. S. 798, 823, n. 32 (1982). Nevertheless, the officer’s reliance on the magistrate’s probable-cause determination and on the technical sufficiency of the warrant he issues must be objectively reasonable, ..."
